key_mlbam,name_first,name_last,team,at_bats,Throws,PAVE,PAVE_PLUS,Power_A_PLUS,Expected_Hits,Expected_Bases,Expected_HRs,Fastball_Rate,Breaking_Rate,Offspeed_Rate
640902,Jhonny,Pereda,SEA,4,R,0.75,3.1498243855578147,4.288731713641089,16.5,33.0,5.499999999999999,0.24999999999999997,0.0,0.75
684516,,,STL,4,R,0.75,3.1498243855578147,5.718308951521451,16.5,43.99999999999999,5.499999999999999,0.5384615384615384,0.3076923076923077,0.15384615384615385
655316,Andruw,Monasterio,BOS,7,R,0.75,3.1498243855578147,3.676055754549505,9.428571428571429,28.28571428571429,6.285714285714286,0.0,0.9999999999999999,0.0
687060,Blake,Adams,COL,9,R,0.7142857142857143,2.9998327481502995,2.8591544757607257,12.222222222222223,21.999999999999996,2.444444444444444,0.8378378378378378,0.16216216216216217,0.0
642215,Weston,Wilson,SEA,20,R,0.665,2.792844288527929,2.158661629199348,14.63,16.61,0.6599999999999999,0.3341659232827832,0.0,0.6658340767172167
660844,Leo,Rivas,SEA,12,R,0.6504545454545455,2.7317567852928684,2.462446792248925,13.1175,18.947499999999998,1.4575,0.0,0.0,0.7949999999999999
683734,Andrew,Vaughn,MIL,26,R,0.6201428571428572,2.6044547919440904,2.742588947133558,10.551538461538462,21.103076923076923,3.517179487179487,0.03831325301204819,0.006385542168674699,0.955301204819277
624431,Jose,Trevino,CIN,36,R,0.5588235294117647,2.3469279735528814,3.168896210634805,12.099999999999998,24.383333333333333,2.3833333333333333,0.05096711798839458,0.0,0.9490328820116055
664702,Myles,Straw,TOR,20,R,0.505157894736842,2.121544873865537,2.446006654013301,10.868,18.821,2.651,0.049074074074074076,0.5583333333333333,0.3925925925925926
677588,José,Tena,WSH,5,R,0.49999999999999994,2.0998829237052097,1.1436617903042905,8.8,8.8,0.0,0.9999999999999999,0.0,0.0
664774,LaMonte,Wade,HOU,6,L,0.49999999999999994,2.0998829237052097,3.335680221720847,10.999999999999998,25.666666666666668,3.666666666666667,0.0909090909090909,0.0,0.9090909090909092
645302,Víctor,Robles,SEA,9,R,0.4968750000000001,2.0867586554320527,1.2627932267943205,9.716666666666667,9.716666666666667,0.0,0.33634615384615385,0.33634615384615385,0.12230769230769233
699151,Jedixson,Paez,BOS,37,R,0.48125,2.0211373140662645,2.4007765161946635,9.497297297297298,18.472972972972972,2.1135135135135137,0.515713853599516,0.19416969147005447,0.29011645493042953
656457,Tyler,Gilbert,CWS,32,L,0.47857142857142854,2.0098879412607005,2.017490876958662,10.174999999999999,15.52375,0.4125,0.6035820895522388,0.3722014925373134,0.024216417910447763
702352,Spencer,Bivens,SF,29,R,0.4682,1.9663303697575585,1.6325201263504212,8.77644283121597,12.561560798548095,0.9462794918330308,0.6188851545995774,0.27371903207221054,0.10739581332821202
675920,Seth,Lonsway,SF,11,L,0.4545454545454546,1.9089844760956454,1.2996156708003301,10.0,10.0,0.0,0.6363636363636362,0.15151515151515152,0.21212121212121213
678391,Jorbit,Vivas,WSH,27,R,0.4396127146510778,1.8462704650789787,1.3324567525132525,7.822222222222221,10.252698412698413,0.4853968253968254,0.0,0.0,0.9999999999999999
691594,Javier,Sanoja,MIA,26,R,0.43587104072398186,1.830556310707815,2.157041055812277,9.043157894736842,16.597530364372467,1.9372469635627534,0.7949999999999999,0.0,0.0
660761,José,Suarez,ATH,271,L,0.429729460379193,1.8047631113266438,1.6316721631231654,8.41475259387888,12.555036075537226,0.3761254612546126,0.4419950486660006,0.34681256227715335,0.21119238905684606
688158,David,Morgan,SD,115,R,0.4183594976452119,1.7570119301501408,1.1074008244329172,7.832291354322839,8.520987006496751,0.11478260869565217,0.5714568764568765,0.4285431235431235,0.0
607481,Aaron,Bummer,KC,86,L,0.41196396396396395,1.7301521862196727,1.5351332316075759,7.516860465116279,11.812209302325583,0.9972093023255815,0.38436991869918696,0.410630081300813,0.0
696522,Hayden,Juenger,ATH,76,R,0.403319829424307,1.6938488451996006,1.375092577917809,7.9102863969625545,10.58076328881906,0.0,0.648235654308874,0.18008044295748699,0.17168390273363904
606965,Chris,Devenski,NYM,22,R,0.40272727272727277,1.6913602458207417,2.2249420284101653,8.860000000000001,17.120000000000005,2.1400000000000006,0.5885173247381145,0.1152296535052377,0.2962530217566478
694820,Braxton,Roxby,SF,11,R,0.4,1.679906338964168,1.0396925366402638,7.999999999999999,7.999999999999999,0.0,0.2916666666666667,0.7083333333333335,0.0
