key_mlbam,name_first,name_last,team,opponent,is_home,game_pk,game_datetime,starts,K9,BB9,HR9,IP_per_start,Expected_IP,Expected_K,Expected_BB,Expected_H_Allowed,FIP_Windowed,Expected_ER,DK_Points_Pitcher,Expected_H_Allowed_Source,Expected_BB_Source,Opponent_Bases_PG,Opponent_Offense_Ratio,Ceiling_DK_Points,n_games,Ceiling_Source,Upside_Deviation,Upside_Deviation_Source,Boom_Adjusted_DK_Points,Boom_Rate,Boom_Rate_Source
519242,Chris,Sale,ATL,PHI,True,824873,2026-09-11T23:15:00Z,25,11.226451021262651,0.9088168553848395,0.41248320650986675,6.55325,6.55325,8.17441557278772,1.4733760064999037,5.252157069836397,1.5039811342508318,1.0951071520032516,24.868109495767158,model,model,16.660270590224926,1.0,31.20666666666667,25,player,5.3245340484020405,player,24.868109495767158,0.88,player
676917,Cade,Cavalli,WSH,LAA,True,822684,2026-09-11T22:45:00Z,30,12.171603120729934,2.3863332525234715,0.7573571869352492,5.528181818181818,5.528181818181818,7.4763150077938105,1.5029027062908715,4.169392750427643,2.2846041051409762,1.4033007639759876,21.18106030451363,model,model,14.125981268624946,1.0,29.176666666666673,30,player,7.644669904996438,player,21.18106030451363,0.6,player
800048,Parker,Messick,CLE,MIN,False,823659,2026-09-12T00:10:00Z,28,10.856489119514332,2.224839625061457,1.0455533229302494,5.931613756613756,5.931613756613756,7.155166689982086,1.5784079131993085,4.927552469571798,2.9393037593609943,1.9372016237658005,19.878484855150862,model,model,17.262005108556835,1.0,27.6962962962963,28,player,5.1676542484477554,player,19.878484855150862,0.7142857142857143,player
656876,Drew,Rasmussen,TB,HOU,True,822930,2026-09-11T23:10:00Z,27,9.23205854450693,1.60085494101248,0.6402480517038214,5.79074074074074,5.79074074074074,5.94005083717555,1.4197527304259667,4.774159542853109,2.5068524895748063,1.612948093600909,17.967024789848498,model,model,16.16211398613225,1.0,30.198888888888888,27,player,6.7813018011619715,player,17.967024789848498,0.6666666666666666,player
671737,Taj,Bradley,MIN,CLE,True,823659,2026-09-12T00:10:00Z,28,10.87316483538173,4.031920369344729,1.6852238703660707,5.719588744588745,5.719588744588745,6.910003467834164,1.8472533921525818,4.84210437808758,4.461926861336627,2.83559851725324,17.00426991434243,model,model,15.990456621004563,1.0,28.62833333333333,28,player,6.1624649239767,player,17.00426991434243,0.6071428571428571,player
543243,Sonny,Gray,BOS,KC,True,824711,2026-09-11T23:10:00Z,26,8.713334541486716,2.662827460436156,0.6681961252613426,5.891381766381767,5.891381766381767,5.7037311380110305,1.6291762476501708,5.334437046629645,3.0164847696369432,1.9745848189341548,16.53573363594484,model,model,17.256749534923053,1.0,25.324074074074076,26,player,5.9846123551534305,player,16.53573363594484,0.5,player
690997,Nolan,McLean,NYM,NYY,False,823498,2026-09-11T23:05:00Z,28,8.803964477354217,4.573369417438789,0.5554994485902728,5.819708994708995,5.819708994708995,5.692945695328535,1.8665028878873255,4.9671139851119275,3.470408014364609,2.2440849707230996,15.89189656350656,model,model,16.52945934440187,1.0,27.41388888888889,28,player,4.757666641040169,player,15.89189656350656,0.7857142857142857,player
605400,Aaron,Nola,PHI,ATL,False,824873,2026-09-11T23:15:00Z,29,9.23227113271344,2.8120737915930225,1.285403577192039,5.593390804597702,5.593390804597702,5.737744495474684,1.6147552225592143,5.016920958677667,3.8424361792054107,2.388027465780119,15.30555766099183,model,model,14.964539151023168,1.0,22.32148148148148,29,player,5.08648244296475,player,15.30555766099183,0.41379310344827586,player
669461,Matthew,Liberatore,STL,CWS,True,823012,2026-09-12T00:15:00Z,28,10.909360544044446,2.8975210442080193,1.7120515531673566,4.939550264550265,4.939550264550265,5.987481640156552,1.5871636083048788,4.624537144530112,4.114501359523423,2.258198475436261,14.84553397297768,model,model,16.824372073222648,1.0,22.871851851851854,28,player,5.850879255216787,player,14.84553397297768,0.42857142857142855,player
579328,Yusei,Kikuchi,LAA,WSH,False,822684,2026-09-11T22:45:00Z,10,8.630278232405892,2.943412438625205,1.7175122749590837,5.598888888888888,5.598888888888888,5.368885433715221,1.8168749024099426,5.521215606184068,4.644148936170213,2.8891193196742844,13.154177922925463,model,model,16.743078861174098,1.0,22.25018518518518,10,player,5.669254723992775,player,13.154177922925463,0.5,player
607074,Carlos,Rodón,NYY,NYM,True,823498,2026-09-11T23:05:00Z,13,10.064053505838496,4.351123293679075,1.4292341428649744,4.51474358974359,4.51474358974359,5.048513450257873,1.8086521875299293,3.9815676130713955,4.3783674140672115,2.196356246244685,12.388355604588657,model,model,17.842379736057897,1.0,18.85888888888889,13,player,2.97670919241629,player,12.388355604588657,0.5384615384615384,player
684007,Shota,Imanaga,CHC,PIT,True,824631,2026-09-11T18:20:00Z,28,8.723102617683118,1.71878370706987,2.340863250962882,5.279497354497355,5.279497354497355,5.117066354785219,1.4558142161691978,4.924132905284422,5.115707572040094,3.00092939921864,12.283174685880038,model,model,16.76699983088111,1.0,24.242222222222225,28,player,5.7859654451117475,player,12.283174685880038,0.5714285714285714,player
690279,Mason,Adams,COL,DET,False,824227,2026-09-11T22:40:00Z,3,11.815384615384618,3.923076923076923,2.8153846153846156,4.366666666666666,4.366666666666666,5.732649572649573,1.9178300893944376,4.6943376083620345,5.8487179487179475,2.8377113010446333,11.647575924555994,model,model,15.160647083865475,1.0,13.918333333333337,3,group_fallback,5.5006028364222015,group_fallback,11.647575924555994,0.10004270766602605,group_fallback
453286,Max,Scherzer,TOR,BAL,True,822767,2026-09-11T23:07:00Z,14,7.497882791860746,3.3842511276452285,1.1053210241642197,5.165178571428571,5.165178571428571,4.303100391955795,1.731534454676991,4.816656255346542,4.158462345927672,2.3865778443642447,11.525782454883263,model,model,15.91255369524776,1.0,16.36444444444445,14,player,7.6944201501918155,player,11.525782454883263,0.14285714285714285,player
605135,Chris,Bassitt,BAL,TOR,False,822767,2026-09-11T23:07:00Z,15,7.3125,4.0588235294117645,0.9727941176470588,5.406666666666667,5.406666666666667,4.392916666666667,1.9022316673979631,5.700672545046728,4.233088235294117,2.5429885620915034,11.303113681683516,model,model,16.701806189751395,1.0,17.414814814814815,17,player,4.985964224589257,player,11.303113681683516,0.23529411764705882,player
664285,Framber,Valdez,DET,COL,True,824227,2026-09-11T22:40:00Z,28,5.956853868329233,3.3257903756560654,0.8243656872188216,5.699470899470899,5.699470899470899,3.7723239194381244,1.675614402432218,5.601411102324276,4.075601924906046,2.5809749520921765,10.840292155647521,model,model,16.915640698169433,1.0,22.5862962962963,28,player,6.245925708479032,player,10.840292155647521,0.4642857142857143,player
641743,Anthony,Kay,CWS,STL,False,823012,2026-09-12T00:15:00Z,27,7.997835782638413,2.8849495898838002,1.6050034176349963,4.842592592592593,4.842592592592593,4.303362257530751,1.5739119618241726,4.918410691827625,4.602691292625503,2.476550973295409,10.65406230961294,model,model,17.079695585996955,1.0,19.95925925925926,29,player,4.981136409581428,player,10.65406230961294,0.2413793103448276,player
669923,George,Kirby,SEA,ATH,False,824954,2026-09-12T01:40:00Z,27,6.952578671328672,2.388068181818182,1.6233828671328672,5.424074074074073,5.424074074074073,4.190144635457135,1.5788933920950514,5.663896248730449,4.695891608391609,2.8300959919709916,10.57859016914365,model,model,17.422825976661592,1.0,21.198888888888888,27,player,4.831139826399027,player,10.57859016914365,0.4074074074074074,player
669160,Dustin,May,MIL,CIN,True,823736,2026-09-11T23:45:00Z,27,9.127931937172775,3.6991884816753924,1.3025317875841436,3.8314814814814815,3.8314814814814815,3.885944686833431,1.5685096902291793,4.2577824355923415,4.186068312141611,1.7820936909096696,9.332760049687945,model,model,17.221745423584505,1.0,24.198518518518522,27,player,7.07942458144353,player,9.332760049687945,0.37037037037037035,player
687473,Ryan,Gusto,MIA,LAD,True,823817,2026-09-11T23:10:00Z,15,7.6359794716660065,3.3605860996124752,1.162710920899027,4.381481481481481,4.381481481481481,3.71743362756415,1.6819061480177586,4.873072547956923,4.202782369688085,2.0460459026094666,9.268121565657891,model,model,16.715214985100044,1.0,13.230000000000002,20,player,3.4275845084278025,player,9.268121565657891,0.1,player
605488,Jeffrey,Springs,ATH,SEA,True,824954,2026-09-12T01:40:00Z,26,7.143327597991845,3.464069814033517,2.1806077679126683,5.122619047619048,5.122619047619048,4.065838446317316,1.7076412930033786,5.068338364269763,5.81705058099795,3.3109482341315055,8.970085487150591,model,model,15.735986808726532,1.0,19.81851851851852,26,player,5.905816418352518,player,8.970085487150591,0.23076923076923078,player
592662,Robbie,Ray,SD,SF,False,823173,2026-09-12T02:15:00Z,27,7.283982249867733,5.986236251228195,1.2963930919413311,4.59074074074074,4.59074074074074,3.7154304521444663,1.9958104845471585,4.747869647340314,5.349317161020714,2.7285920251379316,8.256635441547253,model,model,16.73790630813462,1.0,20.002962962962965,28,player,4.906801181860378,player,8.256635441547253,0.32142857142857145,player
671096,Andrew,Abbott,CIN,MIL,False,823736,2026-09-11T23:45:00Z,29,7.534713377895709,3.7921798723148576,2.188171120226954,4.635919540229884,4.635919540229884,3.8811472198464707,1.700859652287765,4.927997224061103,5.850370824900395,3.0135387138607297,8.1887218516794,model,model,18.099912058176898,1.0,16.985555555555557,29,player,4.326056274558162,player,8.1887218516794,0.20689655172413793,player
607625,Seth,Lugo,KC,BOS,False,824711,2026-09-11T23:10:00Z,29,5.9890368442130555,3.180366439727673,1.1802362835402485,4.648850574712643,4.648850574712643,3.093570819466118,1.6065666725562695,5.50029307348127,4.534010812975571,2.341993197072758,7.698953190267642,model,model,17.228144765770338,1.0,18.217407407407407,29,player,4.55436329905146,player,7.698953190267642,0.3448275862068966,player
