team,current,Strength,pyth_Strength,SOS,pyth_SOS,Confidence,pyth_Confidence,Confidence_Delta,true_power,offensive_edge,team_bases_pg,suppression_resistance,home_run_reliance,homer_per_game,game_homer_rate,team_home_run_rate,away_hr_rate,Park_Factor,games_played,win_rate,win_rate_CI_Low,win_rate_CI_High,Bullpen_PAVE,Bullpen_PAVE_PLUS,Bullpen_Power_A_PLUS,Bullpen_BAA,Bullpen_Power_A,Bullpen_HR_Per,Bullpen_AtBats
ATH,0.8075879915864583,0.7984899083771839,0.8258651530412146,1.1360554365751019,1.1785792518533011,0.8456462994740381,0.8753062931394745,-0.02965999366543637,1.0580934605802412,0.8936356242622648,17.45427633307066,1.2225512968982177,0.4224,1.2112676056338028,0.676056338028169,1.4057971014492754,1.9130434782608696,1.327213533369605,142,0.39436619718309857,0.3544468181767676,0.43574675455589085,0.2624661709779012,1.0931749973564613,1.0648530074670166,0.2354136519867684,0.36832861144772455,0.02336694992234244,2520
ATL,1.2987496801889595,1.2710419330161005,1.187020170481697,0.8591061778831144,0.8485171616963325,1.2197480866262365,1.1464282883312986,0.07331979829493784,1.1325637914171023,1.1753432690642824,16.477001763668433,1.0897843137699221,0.41068702290076337,1.2695035460992907,0.6879432624113475,1.3194444444444442,1.0972222222222223,0.9636173776078749,141,0.5957446808510638,0.5541164373367802,0.6360392097686236,0.2297380387652731,0.9568619033233486,0.9326168932169131,0.20616554867626577,0.32258864170218954,0.022805862772505032,2112
AZ,1.0112714273713097,1.0036344813718299,0.851491879317869,1.0490396982848957,1.1242636901974734,1.0176225797158143,0.8849582385284246,0.13266434118738968,0.7519376110622176,0.8905663602219626,15.249981612818491,0.6133088619024727,0.3748006379585327,0.9788732394366197,0.6267605633802817,1.0,1.1111111111111112,0.985306514724451,142,0.5211267605633803,0.4794355416815737,0.5625257437718946,0.23546055086634005,0.9806962402500793,1.0000116400206818,0.21251241395081874,0.34590022868652925,0.02877203587027296,2009
BAL,1.080404123487954,1.0728181422263234,1.1447941905503023,1.0268902053208877,1.022373908502423,1.077694079630186,1.1566997523181102,-0.07900567268792424,1.0326741395367918,1.0118415093944986,16.89139217231416,1.053506769679085,0.438871473354232,1.2112676056338028,0.6971830985915493,1.2714285714285711,1.1571428571428573,0.97202745118369,142,0.4859154929577465,0.4444473114140133,0.5275784982836745,0.22662976408429047,0.9439158990687568,0.9006105010449597,0.20561182527264615,0.3115177521958629,0.01917014425492802,2104
BOS,0.9673863211753937,0.961912259197294,0.8692311379442363,1.1154990430475784,0.9906728091328095,0.9966976109361048,0.8618545226993775,0.1348430882367273,1.0424115584822817,1.0862126950278141,17.84293669556081,0.9986104219367494,0.36334913112164297,1.0422535211267605,0.6619718309859155,0.9855072463768115,0.9420289855072463,0.9731821523611475,142,0.5422535211267606,0.5005270184456816,0.5833955524612551,0.23655017554581154,0.9852345411353429,0.9353541521532989,0.2135945189276858,0.3235354491734011,0.024606929334575933,2174
CHC,0.9649768168088536,0.9603240025825667,1.255047665449308,0.8912148029728671,0.7764030770747372,0.930541315773856,1.194411842974103,-0.26387052720024706,1.3360082044162838,1.418267144689223,20.806866298923033,1.2537492641433445,0.45322793148880103,1.4014084507042253,0.7253521126760564,1.4722222222222223,1.5972222222222223,1.0983998725465969,142,0.5633802816901409,0.5216930463548829,0.6041908100055221,0.24348580483698978,1.0141215268516377,1.1169186193660774,0.22081880642377705,0.38633790888171915,0.040267512200815966,2179
CIN,0.9947631671571732,0.9942490904715225,0.7677556590291175,0.9579407400857282,1.0119598137614372,0.9823560032973203,0.7635056375337124,0.21885036576360795,1.0041196736161193,1.0772172920203367,16.866666666666667,0.9310220552119021,0.5,1.3333333333333333,0.7021276595744681,1.333333333333333,1.2222222222222223,0.9713634980066521,141,0.475177304964539,0.433673139982802,0.517027247804686,0.24851074604214737,1.0350504719732054,1.070011459843069,0.21923610483116904,0.37011290053510776,0.02980000474262497,2285
CLE,1.0750228970693478,1.0582740364656404,1.0005856137335292,1.2210527733770242,1.2427953996107295,1.1196744856319296,1.0759410957163507,0.04373338991557896,1.0556143779691922,0.9518496184003037,15.994473338586815,1.1593791375380809,0.37435008665511266,0.9366197183098591,0.6056338028169014,0.8767123287671232,1.095890410958904,0.9412491285659267,142,0.5070422535211268,0.4654156635549613,0.5485714315961948,0.22468903571408977,0.9358327403018223,0.9168180873191744,0.20041194998019565,0.3171238947389553,0.025163284431551535,2062
COL,0.8335349114649996,0.8392846276120072,0.8713409982432329,1.2320199048507372,1.249227885299308,0.9124850934831625,0.9442620813622247,-0.031776987879062135,0.9751406080936309,0.9974299426433374,17.791728395061728,0.9528512735439245,0.37632776934749623,1.1063829787234043,0.6312056737588653,1.0869565217391304,1.5072463768115942,1.2415347060022612,141,0.3829787234042553,0.34321637764131474,0.42437116478541403,0.2556211618357218,1.0646654457329991,1.0100805136018307,0.2286172196685994,0.3493830138211734,0.022515810549322193,2473
CWS,1.0088650783081066,1.0022845691419104,0.9603943673842354,1.2681185558342503,1.0046498642274755,1.0794566190266848,0.9604795275464949,0.11897709148018987,1.0005181301224462,0.9826381097343843,17.124567901234567,1.018398150510508,0.44744744744744747,1.3049645390070923,0.6595744680851063,1.3768115942028984,1.0144927536231885,1.0055137853299563,141,0.524822695035461,0.482972752195314,0.566326860017198,0.23476955140529848,0.9778182185561481,0.9905254474267015,0.21250131964516805,0.3426189906925851,0.027355036730452073,2713
