key_mlbam,name_first,name_last,team,opponent,is_home,dk_slot,game_pk,game_datetime,DK_Points,Ceiling_DK_Points,Boom_Adjusted_DK_Points,Value_Score,Estimated_Salary
679529,Spencer,Torkelson,DET,CLE,False,1B,824385,2026-09-06T17:40:00Z,5.735793688529415,14.0,10.553823690806006,2.6384559227015014,4000.0
592518,Manny,Machado,SD,NYY,True,3B,823253,2026-09-06T20:10:00Z,5.733308148303951,16.0,11.122508298685228,2.780627074671307,4000.0
669357,Nolan,Gorman,STL,COL,False,3B,824309,2026-09-06T19:10:00Z,5.731394254982835,12.0,9.38914478610859,2.3472861965271474,4000.0
701678,Hao-Yu,Lee,DET,CLE,False,2B,824385,2026-09-06T17:40:00Z,5.722271049575363,12.0,9.67833228073624,2.41958307018406,4000.0
805367,Chase,Meidroth,CWS,MIN,True,2B,824552,2026-09-06T22:20:00Z,5.719526622722707,13.0,10.21880794148692,2.55470198537173,4000.0
650402,Gleyber,Torres,DET,CLE,False,2B,824385,2026-09-06T17:40:00Z,5.713601369483089,14.0,10.079659618455596,2.519914904613899,4000.0
680574,Matt,McLain,CIN,MIL,True,2B,824469,2026-09-06T16:10:00Z,5.710506081401235,14.0,10.978402767886717,2.744600691971679,4000.0
661388,William,Contreras,MIL,CIN,False,C,824469,2026-09-06T16:10:00Z,5.704040774813129,15.0,10.756546450049225,2.689136612512306,4000.0
693307,Dillon,Dingler,DET,CLE,False,C,824385,2026-09-06T17:40:00Z,5.699619445952341,17.200000000000003,12.281669303807536,3.070417325951884,4000.0
666182,Bo,Bichette,NYM,SF,True,3B,823578,2026-09-06T17:40:00Z,5.699526226081517,15.0,11.131832492833531,2.782958123208383,4000.0
665052,Griffin,Conine,MIA,CHC,True,OF,823822,2026-09-06T17:40:00Z,5.695305439972969,17.0,11.42496970355696,2.85624242588924,4000.0
682985,Riley,Greene,DET,CLE,False,OF,824385,2026-09-06T17:40:00Z,5.692446252128868,15.100000000000009,11.39199119010418,2.847997797526045,4000.0
808959,Munetaka,Murakami,CWS,MIN,True,1B,824552,2026-09-06T22:20:00Z,5.69239076523894,17.0,11.608605145833836,2.902151286458459,4000.0
694203,Denzer,Guzman,LAA,PIT,False,3B,823336,2026-09-06T17:35:00Z,5.684577898789635,12.200000000000005,9.62568485928615,2.4064212148215374,4000.0
695336,Thomas,Saggese,STL,COL,False,OF,824309,2026-09-06T19:10:00Z,5.676451408173704,11.6,10.89213505202878,2.723033763007195,4000.0
681082,Bryson,Stott,PHI,ATL,True,2B,823417,2026-09-06T17:10:00Z,5.676103666545165,12.0,10.13517574823732,2.53379393705933,4000.0
