key_mlbam,name_first,name_last,team,opponent,is_home,game_pk,game_datetime,PA_L,PA_R,Expected_Bases,Expected_BB,Expected_HBP,Expected_RBI,Game_Hit_Probability,Matchup_Hit_Probability,Matchup_Ratio,Adjusted_Expected_Bases,DK_Points_Hitter_HitType,DK_Points_Hitter,dk_slot,DK_Points_Hitter_Source,Ceiling_DK_Points,n_games,Ceiling_Source,Upside_Deviation,Upside_Deviation_Source,Boom_Adjusted_DK_Points,Boom_Rate,Boom_Rate_Source,Matchup_Boom_Score
695578,James,Wood,WSH,LAA,True,822685,2026-09-12T20:05:00Z,194.0,362,1.0666287558188745,0.623217143197207,0.0044064748201438,0.1987658035336436,0.6430060570978174,0.6663123605564556,1.0362458536764494,1.1052896256293787,2.984060931274197,7.258746309235084,OF,model,18.0,122,player,5.568121564392017,player,12.826867873627101,0.23770491803278687,player,0.24632073570997567
663728,Cal,Raleigh,SEA,ATH,False,824955,2026-09-13T01:40:00Z,168.0,300,1.8054573232131244,0.5224780458760513,0.003926282051282,0.5127984068224375,0.5861609116095595,0.5940764880761789,1.013504101535675,1.8298384022241223,4.9401977183246855,7.246037358620108,C,model,14.0,113,player,5.267265484402477,player,12.513302843022586,0.12389380530973451,player,0.12556687983627832
545361,Mike,Trout,LAA,WSH,False,822685,2026-09-12T20:05:00Z,154.0,402,1.3931659914574337,0.2032687800620335,0.1503619034301142,0.3418896095993439,0.6474483298513204,0.6037211005098533,0.9324622099936398,1.2990746392823789,3.507241711134567,7.171225179447678,OF,model,16.0,128,player,4.8019469345923,player,11.973172114039977,0.1484375,player,0.1384123592959309
671732,Lawrence,Butler,ATH,SEA,True,824955,2026-09-13T01:40:00Z,133.0,342,1.3595459321066896,0.285947974611325,0.0012894736842105,0.5854807659392385,0.6031888964391003,0.7361592085654296,1.220445556792099,1.6592517920943821,4.4796479882964135,7.066951992496367,OF,model,12.0,135,player,4.219232932132225,player,11.286184924628593,0.08148148148148149,player,0.09944371203491179
691718,Pete,Crow-Armstrong,CHC,PIT,True,824630,2026-09-12T18:20:00Z,214.0,439,1.993243335143272,0.3356848953857415,0.0650180443273146,0.6088990609741013,0.6672366062776305,0.6177542222779344,0.9258398242330443,1.845424059062734,4.98227587465757,6.956659630025216,OF,model,19.0,146,player,6.921682157941262,player,13.878341787966479,0.2328767123287671,player,0.21560653441043498
686527,Dominic,Canzone,SEA,ATH,False,824955,2026-09-13T01:40:00Z,114.0,352,1.411234010571477,0.154001776648551,0.0111887780863418,0.5052777229058694,0.6476929002781169,0.615481935572554,0.9502681522497289,1.3410507356177317,3.620568776020752,6.9476011306114955,,model,15.0,132,player,5.386180721155089,player,12.333781851766584,0.14393939393939395,player,0.1367810219147337
668804,Bryan,Reynolds,PIT,CHC,False,824630,2026-09-12T18:20:00Z,219.0,419,1.55945226210652,0.3810517778111127,0.0498942123189742,0.2662324727585162,0.6101411446317394,0.648050938247291,1.062132826066717,1.656345438267333,4.471801414234146,6.927377755488621,OF,model,14.0,145,player,4.905089105699903,player,11.832466861188525,0.14482758620689656,player,0.15382613343035215
703607,Henry,Bolte,ATH,SEA,True,824955,2026-09-13T01:40:00Z,139.0,269,1.4970420388789216,0.6699119853105437,0.0870876898337512,0.3779568933904885,0.6314019748404343,0.7432196243907216,1.1770942347441113,1.7621595531339485,4.757478361551034,6.909026781678315,OF,model,11.0,103,player,4.823003960534994,player,11.732030742213308,0.05825242718446602,player,0.0685685961986861
691781,Brady,House,WSH,LAA,True,822685,2026-09-12T20:05:00Z,96.0,218,1.3061063536085262,0.3290461083427801,0.0246753610836996,0.5352990859410467,0.6172596536386157,0.6613370361480797,1.071408170369855,1.3993730186281539,3.77802727569229,6.8550431688347455,3B,model,13.800000000000011,82,player,4.758978824935973,player,11.614021993770718,0.10975609756097561,player,0.11759357967474018
682829,Elly,De La Cruz,CIN,MIL,False,823737,2026-09-12T23:10:00Z,161.0,407,2.297433181823312,0.4124694581753341,0.002156690140845,0.715755860785708,0.6519863770256966,0.6482558600933552,0.9942782287118334,2.284287794607074,6.167120187880179,6.832717633490526,SS,model,17.0,125,player,5.4720282104535976,player,12.304745843944124,0.184,player,0.18294719408297733
677594,Julio,Rodríguez,SEA,ATH,False,824955,2026-09-13T01:40:00Z,181.0,408,1.0420165469590414,0.1659224165825355,0.0051994906621392,0.5436580312706917,0.6277841151950321,0.588769536994226,0.9378535116507598,0.9772588777637359,2.6384035181865344,6.809553656582343,OF,model,15.0,137,player,4.696311994404749,player,11.505865650987094,0.12408759124087591,player,0.11637598319753954
668227,Randy,Arozarena,SEA,ATH,False,824955,2026-09-13T01:40:00Z,165.0,437,1.1808938700267402,0.3548847506955136,0.2116051002079788,0.3435331584420495,0.6329325876616057,0.5506681639986166,0.8700265632286083,1.0274090352770955,2.7737989134411025,6.789741323839259,OF,model,16.0,140,player,5.790050025715801,player,12.579791349555059,0.15714285714285714,player,0.13671845993592416
805811,Bryce,Eldridge,SF,SD,True,823170,2026-09-12T20:05:00Z,131.0,290,1.6730416054149178,0.476272828404736,0.0,0.7339038235088401,0.6729903549412206,0.534384229108716,0.7940444096786341,1.3284693339394826,3.5866015077698155,6.7760261498064,,model,14.0,101,player,4.691551877684455,player,11.467578027490855,0.12871287128712872,player,0.10220373589923014
669065,Kyle,Stowers,MIA,LAD,True,823819,2026-09-12T20:10:00Z,105.0,351,1.4424972587719298,0.386000548245614,0.126266447368421,0.3929111842105263,0.6113808691725402,0.5093588535545208,0.8331285443129767,1.201785641376117,3.244580874587241,6.758369683208043,1B,model,17.0,110,player,5.914065801547512,player,12.672435484755555,0.17272727272727273,player,0.14390402129042323
665019,Kody,Clemens,MIN,CLE,True,823657,2026-09-12T20:10:00Z,139.0,381,1.845345095329474,0.4009486536400608,0.031599443319838,0.5496505767169839,0.6203746601765765,0.6284682571355453,1.0130463048839957,1.8694200300593287,5.047060197154176,6.745483000918804,2B,model,16.0,129,player,5.293027376393545,player,12.038510377312349,0.17829457364341086,player,0.18062065901032484
695600,Carter,Jensen,KC,BOS,False,824712,2026-09-12T20:10:00Z,156.0,389,1.8534255914757511,0.5252442983980069,0.0696287493192576,0.5184729141562368,0.6108291878130078,0.6071255982864093,0.9939367836369138,1.8421878711017527,4.973538814400513,6.723276420869728,C,model,14.0,135,player,5.0526641716443,player,11.775940592514027,0.14814814814814814,player,0.14724989387213538
672960,Kazuma,Okamoto,TOR,BAL,True,822768,2026-09-12T19:07:00Z,153.0,424,2.053854368437149,0.2939243296972168,0.006369150779896,0.5598167499235397,0.6139498449920773,0.4889389696260096,0.7963825931616924,1.6356538679124466,4.415938312590024,6.696273773875756,3B,model,17.0,141,player,5.282178344092608,player,11.978452117968363,0.20567375886524822,player,0.163795001430419
691723,Coby,Mayo,BAL,TOR,False,822768,2026-09-12T19:07:00Z,150.0,247,2.042113372456545,0.3059524023259553,0.0438862166604141,0.6514890312092467,0.6028810321038197,0.5123342004265851,0.8498097852552078,1.7354079265140845,4.685254320002725,6.671682528317369,3B,model,15.0,113,player,4.88289693363623,player,11.5545794619536,0.168141592920354,player,0.1428883709721146
677951,Bobby,Witt,KC,BOS,False,824712,2026-09-12T20:10:00Z,143.0,414,1.4174923155248482,0.2809124978513312,0.0627092564651056,0.3364669230346843,0.6242353657947276,0.6184663964126608,0.9907583426089257,1.4043923371902869,3.791578431946337,6.659638490245373,SS,model,14.0,128,player,4.680942679122911,player,11.340581169368285,0.109375,player,0.10836419372285125
646240,Rafael,Devers,SF,SD,True,823170,2026-09-12T20:05:00Z,218.0,400,2.586821062567421,0.4752278856526428,0.024874258360302,1.1246534519956848,0.6449820112678881,0.42653649077521205,0.6613153286813972,1.7107044212317353,4.618559796441439,6.625812655937837,1B,model,18.599999999999994,145,player,5.987509379006997,player,12.613322034944833,0.2482758620689655,player,0.16418863332779515
686611,Dylan,Crews,WSH,LAA,True,822685,2026-09-12T20:05:00Z,124.0,267,1.484831666610947,0.1986711014506683,0.0722972534602076,0.5653405245125899,0.5906163959720239,0.623690160766031,1.0559987244166749,1.5679803459146453,4.2332333379003595,6.589347515289834,OF,model,12.0,94,player,3.754556353405985,player,10.343903868695818,0.09574468085106383,player,0.10110626084840504
680869,Zack,Gelof,ATH,SEA,True,824955,2026-09-13T01:40:00Z,101.0,274,1.3495877187100895,0.260815937100894,0.0162501915708812,0.3963871998722861,0.5791712487952008,0.7344514757613079,1.2681076232446327,1.7114224743335975,4.620498396205847,6.541806805047373,3B,model,16.599999999999994,93,player,4.994593630637421,player,11.536400435684794,0.15053763440860216,player,0.19089792177876191
682626,Francisco,Álvarez,NYM,NYY,False,823496,2026-09-12T17:35:00Z,105.0,271,1.2592184729609928,0.2591460272606383,0.0065159574468085,0.4763785460992907,0.5538234065717044,0.5419939252962436,0.9786403370910449,1.2323219908498169,3.3270229108963356,6.522733393920779,C,model,12.0,98,player,5.142016237288517,player,11.664749631209297,0.09183673469387756,player,0.08987513299815719
656941,Kyle,Schwarber,PHI,ATL,False,824870,2026-09-12T23:15:00Z,231.0,393,1.511796689048469,0.3999818246465794,0.005889423076923,0.6273947133979769,0.5631200992796219,0.5128146502470057,0.9106665716656711,1.376742707871282,3.7169299627108874,6.518779971193127,,model,17.0,141,player,7.287242554263486,player,13.806022525456612,0.24113475177304963,player,0.21959335770661573
687263,Zach,Neto,LAA,WSH,False,822685,2026-09-12T20:05:00Z,174.0,458,1.7800532386089014,0.1662808127914723,0.1771734131902261,0.619785237593387,0.6044676626863985,0.591557217382096,0.9786416278301383,1.742034199056525,4.703143930612806,6.501995484051009,SS,model,16.900000000000006,142,player,5.663350777217573,player,12.165346261268581,0.176056338028169,player,0.1722960612377004
680777,Ryan,Jeffers,MIN,CLE,True,823657,2026-09-12T20:10:00Z,120.0,208,1.56675333846944,0.3385863727185038,0.076220784477683,0.6468000723439437,0.6105231495811646,0.5865495509638454,0.9607326951750057,1.505231157542183,4.063823079132386,6.4848526362291325,C,model,16.0,81,player,5.733087808686855,player,12.217940444915987,0.1728395061728395,player,0.16605256459814913
681715,Heriberto,Hernandez,MIA,LAD,True,823819,2026-09-12T20:10:00Z,152.0,287,1.233368194356704,0.4094506748957817,0.0876692859945145,0.4397370658809775,0.5773321682240129,0.48045154197342443,0.8321925720012929,1.026399849886296,2.7710743147230223,6.482144687562744,OF,model,15.0,116,player,5.320001207230135,player,11.80214589479288,0.16379310344827586,player,0.13630740403469452
650490,Yandy,Díaz,TB,HOU,True,822927,2026-09-12T22:10:00Z,173.0,448,1.6256327942980546,0.1329603636593564,0.0172499743036283,0.4232507862772566,0.6606502935872821,0.6228946820795943,0.9428508367071516,1.5327292402825057,4.138062402914709,6.477013038025153,,model,16.0,141,player,4.923592267571351,player,11.400605305596503,0.19148936170212766,player,0.18054590490136946
624413,Pete,Alonso,BAL,TOR,False,822768,2026-09-12T19:07:00Z,193.0,439,1.1925105660299762,0.4507429050041862,0.0870517371849965,0.4318328202001392,0.6165573058286838,0.5660831426299273,0.9181354876155158,1.0948862700285868,2.955973951823179,6.474690094252052,1B,model,17.0,145,player,5.490279811976172,player,11.964969906228223,0.23448275862068965,player,0.21528694192363818
691406,Junior,Caminero,TB,HOU,True,822927,2026-09-12T22:10:00Z,166.0,461,1.7569382835123768,0.2250798154440412,0.0827810838430767,0.5822704075110723,0.6485602354871358,0.6005105756146518,0.9259133427500473,1.626772599092475,4.391960663029865,6.460891683064428,3B,model,17.0,146,player,5.82167054324628,player,12.28256222631071,0.22602739726027396,player,0.20928178295035316
701398,Sal,Stewart,CIN,MIL,False,823737,2026-09-12T23:10:00Z,154.0,468,1.560301819500089,0.2445778238217239,0.0121684083601286,0.4184432692252581,0.67154054023073,0.6824153171567384,1.0161937757656032,1.5855689972917362,4.28071917888823,6.453956904104398,1B,model,18.700000000000017,144,player,5.810048807791528,player,12.264005711895926,0.2013888888888889,player,0.20465013539723953
673548,Seiya,Suzuki,CHC,PIT,True,824630,2026-09-12T18:20:00Z,149.0,422,1.3323205483156484,0.5908683435064044,0.0042907180385288,0.3064783199838605,0.5876538481042843,0.5850390087918363,0.9955503749003206,1.3263922213630446,3.580993719235948,6.44598841397753,OF,model,17.200000000000003,129,player,5.052798321279051,player,11.49878673525658,0.20155038759689922,player,0.20065356393339795
