key_mlbam,name_first,name_last,team,PA_L,PA_R,WAVE,WAVE_L,WAVE_R,probability_L,probability_R,probability,WAVE_CI_Low,WAVE_CI_High,probability_CI_Low,probability_CI_High,Game_Hit_Probability,Game_Hit_Probability_CI_Low,Game_Hit_Probability_CI_High,Consistency,Approach,Expected_Bases,Expected_BB,Expected_HBP,Expected_RBI,Exit_Velo,Barrel_Rate,xBA,xwOBA,Fastball_WAVE,Breaking_WAVE,Offspeed_WAVE,WAVE_Home,WAVE_Away,Whiff_Rate,Chase_Rate,Last_Game_Date,avg_batting_order,start_rate
701398,Sal,Stewart,CIN,159.0,472,0.25746340813136986,0.23335187831851006,0.26558572431832905,0.6054643372774444,0.6605358739413806,0.6472130503761424,0.21215765870605255,0.27905389417517046,0.5659521479355227,0.6818295800402285,0.686395552563362,0.6340659376912701,0.7781258883100011,0.03918250218721964,0.44424415933915135,1.473975931172386,0.2346764699299253,0.0038827258320126784,0.3208219113195437,91.25688007904549,0.08388914620150185,0.36149580092604344,0.40708894992485056,0.27851169182209123,0.30299058921700434,0.16631764269829502,0.27178042384084017,0.2941907051282051,0.26686216359703985,0.3385583691315258,2026-09-13,2.8,1.0
672515,Gabriel,Moreno,AZ,139.0,351,0.2559656799087214,0.22599384395457875,0.2678348685059459,0.592051395375133,0.6641605979805958,0.6447162120571979,0.2281502948194279,0.30611319016774624,0.5960155961575768,0.7217019187482374,0.6793771692860997,0.6186118822511147,0.7802762494139691,0.034660957228901834,0.4380054751402759,1.6283092409194628,0.27689364892330337,0.005000000000000001,0.5056203428346987,88.04059935739002,0.06332282913165266,0.3058599522161806,0.3248759422886802,0.31887712138878094,0.23437938288920057,0.2382772479980439,0.28398028852697,0.28314697067638245,0.15453744482782358,0.2624336376693126,2026-09-13,3.0,0.85
672640,Otto,Lopez,MIA,155.0,469,0.2525450932908797,0.2477213926446813,0.25413928007160624,0.6307457592965752,0.6416544001425633,0.6389665095179893,0.2542944535667318,0.32521722682486837,0.6419152658441298,0.7476089480935167,0.6785147149280712,0.6849207692776874,0.8222819808700167,0.03954820541008197,0.43354817905418325,1.377462727584161,0.2363533659784509,0.19894863006106217,0.5067032228508961,86.99145401804896,0.048920194262482015,0.32677587424737436,0.34012672265991045,0.3900234265565377,0.20427844597554662,0.15087715855572997,0.3138873762612294,0.15604823186492878,0.14394583697790278,0.2603121409040119,2026-09-13,3.2,1.0
664983,Jake,McCarthy,COL,157.0,373,0.24823310850006963,0.2531774341519368,0.2461519848342703,0.6400343895675469,0.6280425300801193,0.6316241230300762,0.2391556654120847,0.31501908803294687,0.6158194810091393,0.7340042835692605,0.6737071032106883,0.6487085699237151,0.7995830172173165,0.04208298018061207,0.425529658244584,1.6037689601253888,0.1486493449642263,0.12945879295435747,0.485421934831247,86.28495927460949,0.07580903048664206,0.3217242453266674,0.3695303382905549,0.34105562277126844,0.17723076072534277,0.3081111637522612,0.28160372701468595,0.26678703374766666,0.16131298065904265,0.38929422822416904,2026-09-13,1.0,1.0
596115,Trevor,Story,BOS,57.0,170,0.25498636018048376,0.22767389440767805,0.26414406929254214,0.5951422084568749,0.6581978575134564,0.6430767952210721,0.17918540561015892,0.28798136491549386,0.498976906485433,0.6954071105368742,0.6735469280446604,0.5910955707120473,0.8238317234697763,0.030470132823588347,0.4331423999179583,1.45053100348325,0.02158590308370044,0.002698237885462555,0.34047997131441454,81.45752327586209,0.06275862068965518,0.34128998275862066,0.3685000431034483,0.3408618456556935,0.2933841607565012,0.19375,0.2698310810810811,0.39113609813084116,0.26124838859382254,0.5005505617977528,2026-09-13,5.923076923076923,0.65
686948,Drake,Baldwin,ATL,207.0,353,0.24382176692797308,0.20308323298902528,0.2677109355550614,0.5482008854453463,0.6639615905330971,0.624002808092343,0.21423267832197362,0.2856267314670498,0.5699401765723469,0.6918670208361888,0.6728671177472154,0.6244382323509742,0.7806321518965104,0.04886430965487243,0.4198709709472636,1.3596187690821953,0.14931988945766805,0.05036146564840824,0.3897518483969276,89.69777121811882,0.08832027679492852,0.3406900323345128,0.39123192846270083,0.2965898687716116,0.27665818959162614,0.14702850877192983,0.2872991506544138,0.22859824256822614,0.25270231268151333,0.3587871155327055,2026-09-13,1.6,1.0
680757,Steven,Kwan,CLE,177.0,401,0.26069906383148667,0.22589975159209214,0.27605935876009724,0.5918777954844128,0.6771800592524471,0.6525643359190534,0.20742934513989833,0.2769662828236791,0.5567661099817882,0.6785933000783667,0.6698111043754613,0.5650678720417956,0.721963640647153,0.017246768456407935,0.43709483851798064,1.5386945603676585,0.3441150012668411,0.0042387543252595155,0.2215618578019169,81.68928859587666,0.003673135921035081,0.33465184178027274,0.32847230270129335,0.2454840916652017,0.39373182373182375,0.20997591449646244,0.23489850270986012,0.3370460372006764,0.07287398679334292,0.21632406563891687,2026-09-13,1.0,1.0
805811,Bryce,Eldridge,SF,135.0,295,0.23822295688811668,0.24643583180034523,0.23446452260624934,0.6285324864113757,0.6074647820405038,0.6141685880688187,0.19727138693313723,0.2771910108751091,0.5365631084610538,0.6789428047371334,0.6656722379617634,0.5881006572272893,0.7642684632904686,0.05150364989294476,0.4088349785055869,1.5180291888175375,0.39037082154595,0.0,0.7134289482657689,93.85790275896076,0.09494339930626403,0.40377497541658164,0.4444646802727335,0.30620675002200315,0.2168761074629977,0.19174783549783547,0.28943713450292397,0.22335332872137365,0.25189259517518847,0.24430675474289582,2026-09-13,3.0,0.85
694192,Jackson,Chourio,MIL,151.0,366,0.2631456952452735,0.261539314305706,0.2638084371083191,0.6539444432667163,0.657651897012108,0.6565720103188561,0.23428339221329597,0.31068370672574974,0.6071396190410284,0.7280651278064149,0.6632320527225848,0.6613299604616811,0.8183006378634419,0.006660042403728639,0.43545960216396906,1.9461437347027712,0.23297773171240505,0.002369439071566731,0.5852006950034241,91.0060608702056,0.096312731127768,0.40464847082334715,0.47091651885888497,0.31629510531500216,0.31177028754497826,0.25526861429503306,0.34887652835842486,0.22810734792798548,0.2508346853094668,0.3411887044665423,2026-09-13,1.5789473684210527,0.95
691406,Junior,Caminero,TB,166.0,469,0.24011526232713237,0.22833934480193724,0.2442832843083315,0.5963618093184644,0.6248053822681794,0.6175126941401233,0.21826571005889658,0.2855235390214868,0.5776163801094423,0.6917112065214939,0.6623230907452872,0.662320116212812,0.8022135289632238,0.04481039660516384,0.4089929161573357,1.6505336790833838,0.23064991545527966,0.06386811023622048,0.46863148596810017,90.76477479740105,0.1288073237970494,0.3168735995774043,0.37756154632933536,0.26602739917370427,0.25925694444444447,0.18339354219948847,0.24225241678359766,0.2625959683453529,0.18976225528906537,0.3565432864875762,2026-09-13,3.0,1.0
