schema_version,sport_id,venue_id,event_id,event_slug,market_id,market_slug,market_type,provider_game_id,sport_game_key,native_game_id,home_team,away_team,scheduled_start_utc,trading_status,active,closed,line,rules_hash,rules_text,long_team,short_team,home_outcome_id,away_outcome_id,mapping_status,mapping_evidence,first_observed_at_utc,updated_at_utc
polymarket_v1,nfl,polymarket_us,101476,nfl-lv-lac-2026-09-20,657992,aec-nfl-lv-lac-2026-09-20,moneyline,19480,,,LAC,LV,2026-09-20T20:05:00Z,MARKET_STATUS_OPEN,True,False,,cd44bcf2914e6d08,"This market will settle to the winner of the Las Vegas Raiders vs Los Angeles Chargers professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",LV,LAC,1315497,1315496,unmatched,"{""reason"": ""no_start_within_tolerance"", ""tol_min"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:00:05Z
polymarket_v1,nfl,polymarket_us,101478,nfl-mia-sf-2026-09-20,657996,aec-nfl-mia-sf-2026-09-20,moneyline,19483,,,SF,MIA,2026-09-20T20:25:00Z,MARKET_STATUS_OPEN,True,False,,8ac6e13ffc63f366,"This market will settle to the winner of the Miami Dolphins vs San Francisco 49ers professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",MIA,SF,1315505,1315504,unmatched,"{""reason"": ""no_start_within_tolerance"", ""tol_min"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:00:05Z
polymarket_v1,nfl,polymarket_us,101477,nfl-sea-ari-2026-09-20,657994,aec-nfl-sea-ari-2026-09-20,moneyline,19481,,,ARI,SEA,2026-09-20T20:25:00Z,MARKET_STATUS_OPEN,True,False,,23f6b6a23927b992,"This market will settle to the winner of the Seattle Seahawks vs Arizona Cardinals professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",SEA,ARI,1315501,1315500,unmatched,"{""reason"": ""no_start_within_tolerance"", ""tol_min"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:00:05Z
polymarket_v1,nfl,polymarket_us,101479,nfl-was-dal-2026-09-20,657999,aec-nfl-was-dal-2026-09-20,moneyline,19482,,,DAL,WAS,2026-09-20T20:25:00Z,MARKET_STATUS_OPEN,True,False,,50ff7878cbb3c989,"This market will settle to the winner of the Washington Commanders vs Dallas Cowboys professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",WAS,DAL,1315511,1315510,unmatched,"{""reason"": ""no_start_within_tolerance"", ""tol_min"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:00:05Z
polymarket_v1,nfl,polymarket_us,101480,nfl-ind-kc-2026-09-20,658002,aec-nfl-ind-kc-2026-09-20,moneyline,19484,,,KC,IND,2026-09-21T00:20:00Z,MARKET_STATUS_OPEN,True,False,,b7ff77f4dc5c4faa,"This market will settle to the winner of the Indianapolis Colts vs Kansas City Chiefs professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",IND,KC,1315517,1315516,unmatched,"{""reason"": ""no_start_within_tolerance"", ""tol_min"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:00:05Z
polymarket_v1,nfl,polymarket_us,101466,nfl-det-buf-2026-09-17,657964,aec-nfl-det-buf-2026-09-17,moneyline,19470,nfl:2026_02_DET_BUF,2026_02_DET_BUF,BUF,DET,2026-09-18T00:15:00Z,MARKET_STATUS_OPEN,True,False,,967b242ad5e398e6,"This market will settle to the winner of the Detroit Lions vs Buffalo Bills professional football game scheduled for Sep 17, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",DET,BUF,1315441,1315440,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""BUF"", ""away"": ""DET"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101467,nfl-phi-ten-2026-09-20,657966,aec-nfl-phi-ten-2026-09-20,moneyline,19478,nfl:2026_02_PHI_TEN,2026_02_PHI_TEN,TEN,PHI,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,d19d6f1074b55486,"This market will settle to the winner of the Philadelphia Eagles vs Tennessee Titans professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",PHI,TEN,1315445,1315444,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""TEN"", ""away"": ""PHI"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101470,nfl-car-atl-2026-09-20,657975,aec-nfl-car-atl-2026-09-20,moneyline,19471,nfl:2026_02_CAR_ATL,2026_02_CAR_ATL,ATL,CAR,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,a53c2a1e0a973955,"This market will settle to the winner of the Carolina Panthers vs Atlanta Falcons professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",CAR,ATL,1315463,1315462,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""ATL"", ""away"": ""CAR"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101474,nfl-cle-tb-2026-09-20,657986,aec-nfl-cle-tb-2026-09-20,moneyline,19477,nfl:2026_02_CLE_TB,2026_02_CLE_TB,TB,CLE,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,20d63d044c41fcc8,"This market will settle to the winner of the Cleveland Browns vs Tampa Bay Buccaneers professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",CLE,TB,1315485,1315484,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""TB"", ""away"": ""CLE"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101468,nfl-pit-ne-2026-09-20,657969,aec-nfl-pit-ne-2026-09-20,moneyline,19475,nfl:2026_02_PIT_NE,2026_02_PIT_NE,NE,PIT,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,1463fda713e80449,"This market will settle to the winner of the Pittsburgh Steelers vs New England Patriots professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",PIT,NE,1315451,1315450,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""NE"", ""away"": ""PIT"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
